system:index,date,evi,latitude,longitude,.geo
20250104T055231_20250104T055231_T42RYP,2025-01-04,0.3052664912054885,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T42RZP,2025-01-04,0.3207464327735243,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T43RBJ,2025-01-04,0.3202250362310068,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RYP,2025-01-09,0.32164562601175656,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RZP,2025-01-09,0.32978255891864966,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T43RBJ,2025-01-09,0.3290399720614429,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RYP,2025-01-14,0.30670545342157324,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RZP,2025-01-14,0.31679064296721915,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T43RBJ,2025-01-14,0.3163067030833895,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RYP,2025-01-19,0.2783549343043103,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RZP,2025-01-19,0.2632544188402882,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T43RBJ,2025-01-19,0.2632955639122895,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RYP,2025-01-24,0.30459798828313583,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RZP,2025-01-24,0.31027896397252647,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T43RBJ,2025-01-24,0.31052866028092574,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RYP,2025-01-29,0.2969870076994673,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RZP,2025-01-29,0.3079334541081666,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T43RBJ,2025-01-29,0.307502395050652,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RYP,2025-02-03,0.2675829982426338,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RZP,2025-02-03,0.28266841908032286,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T43RBJ,2025-02-03,0.28260061261685726,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RYP,2025-02-13,0.25422582983609016,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RZP,2025-02-13,0.2588901438646234,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T43RBJ,2025-02-13,0.2573176488317824,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RYP,2025-02-18,0.24020235692291442,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RZP,2025-02-18,0.24373425789259515,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T43RBJ,2025-02-18,0.2449608729531478,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RYP,2025-02-23,0.23870644861002951,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RZP,2025-02-23,0.24437493277386482,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T43RBJ,2025-02-23,0.24438084389925196,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RYP,2025-03-05,0.2551541202963729,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RZP,2025-03-05,0.2610713078863291,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T43RBJ,2025-03-05,0.26124106582342577,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T42RYP,2025-03-20,0.2311026431572021,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T42RZP,2025-03-20,0.23397565179510277,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T43RBJ,2025-03-20,0.23424769455631247,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T42RYP,2025-03-25,0.23029684161798414,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T42RZP,2025-03-25,0.23457190311353512,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T43RBJ,2025-03-25,0.23449669869189593,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T42RYP,2025-03-27,0.20542467589415686,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T42RZP,2025-03-27,0.20943924766502128,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T43RBJ,2025-03-27,0.20941279213752342,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T42RYP,2025-03-30,0.23604038350575146,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T42RZP,2025-03-30,0.24243327064824385,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T43RBJ,2025-03-30,0.2426667836327784,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
