system:index,date,gci,latitude,longitude,.geo
20250104T055231_20250104T055231_T42RYP,2025-01-04,0.9213696643809681,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T42RZP,2025-01-04,0.8815483869419974,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T43RBJ,2025-01-04,0.881453076986807,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RYP,2025-01-09,1.0637769154539072,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RZP,2025-01-09,1.0429460199941836,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T43RBJ,2025-01-09,1.043332986550651,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RYP,2025-01-14,1.0183714288030055,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RZP,2025-01-14,1.0057553259040777,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T43RBJ,2025-01-14,1.0067635509346613,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RYP,2025-01-19,0.820935131537677,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RZP,2025-01-19,1.0297189283565635,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T43RBJ,2025-01-19,1.0212122699076978,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RYP,2025-01-24,0.9599704554864025,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RZP,2025-01-24,0.9589577911759113,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T43RBJ,2025-01-24,0.9597353095326248,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RYP,2025-01-29,0.9791049479646444,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RZP,2025-01-29,0.9443653483474627,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T43RBJ,2025-01-29,0.9441625645572292,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RYP,2025-02-03,0.8849694883341976,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RZP,2025-02-03,0.8307795097195481,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T43RBJ,2025-02-03,0.8314172727705877,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RYP,2025-02-13,0.8941246643748317,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RZP,2025-02-13,0.8916782190610216,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T43RBJ,2025-02-13,0.895424913385013,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RYP,2025-02-18,0.7309331154331766,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RZP,2025-02-18,0.7008242975523091,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T43RBJ,2025-02-18,0.7018986948152898,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RYP,2025-02-23,0.8567452691777785,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RZP,2025-02-23,0.8417308592198619,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T43RBJ,2025-02-23,0.8417365686866789,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RYP,2025-03-05,0.8980671994059519,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RZP,2025-03-05,0.8793379184258885,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T43RBJ,2025-03-05,0.8798674983201441,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T42RYP,2025-03-20,0.7354247186551506,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T42RZP,2025-03-20,0.7293600470631386,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T43RBJ,2025-03-20,0.7297663705013538,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T42RYP,2025-03-25,0.8288821512680437,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T42RZP,2025-03-25,0.817199296348225,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325T054701_20250325T055545_T43RBJ,2025-03-25,0.8170968637866648,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T42RYP,2025-03-27,0.783340776693446,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T42RZP,2025-03-27,0.7675391584972753,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327T055251_20250327T055245_T43RBJ,2025-03-27,0.7676600266657685,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T42RYP,2025-03-30,0.8229028402460172,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T42RZP,2025-03-30,0.7971850846956676,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330T054639_20250330T055531_T43RBJ,2025-03-30,0.7972109578437643,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
